ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr,significatiu_fdr_005
estacio_periode,nao,anomalia_precipitacio_mm_dia,120,-0.7051817639127592,2.4624544885632676e-19,-0.6977174973793173,8.396351108956341e-19,0.7051817639127592,0.6977174973793173,,Winter,1991-2000,1.870218598908811e-17,5.857919378341634e-17,True
subregio_estacio,nao,pressio_nivell_mar,120,0.7043697607023581,2.819187319901794e-19,0.6790346385258254,1.543850047342843e-17,0.7043697607023581,0.6790346385258254,Golf_Lleo,Winter,,2.1143904899263454e-17,9.750631877954798e-16,True
subregio_periode,nao,pressio_nivell_mar,120,0.7032090639663998,3.417953748522388e-19,0.6531075018058533,6.260658321743691e-16,0.7032090639663998,0.6531075018058533,Llevant_Iberic,,1981-1990,2.5154209145308525e-17,3.543768861364353e-14,True
estacio_periode,nao,pressio_nivell_mar,120,0.7031741866090044,3.4377419165254983e-19,0.7203697604699496,1.7963042563197495e-20,0.7031741866090044,0.7203697604699496,,Spring,1981-1990,2.5154209145308525e-17,1.4688714590204022e-18,True
estacio_periode,nao,anomalia_precipitacio_mensual_mm,120,-0.7029908554641355,3.543608056431476e-19,-0.6911024806730958,2.4140126772912134e-18,0.7029908554641355,0.6911024806730958,,Winter,1991-2000,2.5616443781432357e-17,1.6459177345167367e-16,True
subregio_periode,nao,pressio_nivell_mar,120,0.7026799370057152,3.7304597427735163e-19,0.730977581535637,2.598903322980565e-21,0.7026799370057152,0.730977581535637,Mediterrani_Central_Occidental,,1991-2000,2.664614101981083e-17,2.4751460218862526e-19,True
subregio_estacio,nao,pressio_nivell_mar,120,0.7025974587798492,3.7816169068676445e-19,0.7219344837388136,1.3582453671769235e-20,0.7025974587798492,0.7219344837388136,Catalunya_Balears,Autumn,,2.669376640141867e-17,1.1478129863466959e-18,True
subregio_periode,nao,pressio_nivell_mar,120,0.7005112608894961,5.328743965696322e-19,0.6608339340198829,2.1578093479699582e-16,0.7005112608894961,0.6608339340198829,Catalunya_Balears,,1981-1990,3.7177283481602246e-17,1.2818669393880939e-14,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6969734449139409,9.468899454091346e-19,0.7196495512704872,2.041652668795962e-20,0.6969734449139409,0.7196495512704872,Mediterrani_Central_Occidental,Autumn,,6.456067809607736e-17,1.6333221350367695e-18,True
estacio,nao,pressio_nivell_mar,480,0.6904886271270441,3.0795965921153055e-69,0.708219630455053,2.7370550116736253e-74,0.6904886271270441,0.708219630455053,,Autumn,,2.639654221813119e-66,2.737055011673625e-71,True
subregio_estacio,wemo,velocitat_vent,120,0.6872155036625375,4.431604822118523e-18,0.6994176500354741,6.370786652013074e-19,0.6872155036625375,0.6994176500354741,Catalunya_Balears,Winter,,2.921937245352872e-16,4.5505618942950526e-17,True
subregio_periode,wemo,vent_u10,120,0.6867747201242904,4.744811494599465e-18,0.6886299085112586,3.5566271106536285e-18,0.6867747201242904,0.6886299085112586,Mediterrani_Central_Occidental,,1981-1990,3.094442279086608e-16,2.397726142013682e-16,True
estacio_periode,nao,pressio_nivell_mar,120,0.6840279853542849,7.241996792045006e-18,0.6355974875540862,6.264978227176351e-15,0.6840279853542849,0.6355974875540862,,Spring,1991-2000,4.622551143858515e-16,3.2973569616717635e-13,True
subregio,nao,pressio_nivell_mar,480,0.6839680097402172,1.8007232463705794e-67,0.655187909872377,3.3974906310586344e-60,0.6839680097402172,0.655187909872377,Llevant_Iberic,,,1.3505424347779346e-64,2.2649937540390895e-57,True
subregio_periode,wemo,velocitat_vent,120,0.6836268031856026,7.700381822900943e-18,0.6802523840434191,1.2853772318916092e-17,0.6836268031856026,0.6802523840434191,Mediterrani_Central_Occidental,,2011-2020,4.863399046042701e-16,8.292756334784575e-16,True
estacio_periode,nao,precipitacio_mensual_mm,120,-0.6812879504496547,1.0991547024352337e-17,-0.6650037382901465,1.198553768947369e-16,0.6812879504496547,0.6650037382901465,,Winter,1991-2000,6.798895066609693e-16,7.413734653282695e-15,True
subregio_estacio,wemo,vent_u10,120,0.680223170060784,1.2910530727004547e-17,0.658238749607422,3.096741685797041e-16,0.680223170060784,0.658238749607422,Catalunya_Balears,Autumn,,7.904406567553803e-16,1.803927195609927e-14,True
periode,nao,pressio_nivell_mar,480,0.678770659995455,4.27557827011001e-66,0.6322889769747448,5.9472879413921835e-55,0.678770659995455,0.6322889769747448,,,1981-1990,2.8503855134066735e-63,2.9736439706960916e-52,True
subregio_periode,nao,pressio_nivell_mar,120,0.677640921117183,1.9020029090837622e-17,0.6095200064573149,1.491358244139426e-13,0.677640921117183,0.6095200064573149,Mediterrani_Central_Occidental,,1981-1990,1.1412017454502571e-15,6.7789011097246644e-12,True
periode,wemo,vent_u10,480,0.676430180024856,1.7425734826946532e-65,0.6683287282618249,2.043533869323296e-63,0.676430180024856,0.6683287282618249,,,2011-2020,1.045544089616792e-62,1.532650401992472e-60,True
subregio_periode,wemo,vent_u10,120,0.6726669950173906,3.967900131422588e-17,0.6535436358741573,5.900170452065266e-16,0.6726669950173906,0.6535436358741573,Mediterrani_Central_Occidental,,2001-2010,2.3571683949045075e-15,3.371525972608723e-14,True
subregio_periode,nao,pressio_nivell_mar,120,0.6720660787279374,4.332358143981899e-17,0.7101008418053125,1.0742895460620353e-19,0.6720660787279374,0.7101008418053125,Golf_Lleo,,1991-2000,2.548445967048176e-15,8.159161109331913e-18,True
estacio_periode,nao,precipitacio_mm_dia,120,-0.6707954003964691,5.213520757315061e-17,-0.6556093027997982,4.449421593832548e-16,0.6707954003964691,0.6556093027997982,,Winter,1991-2000,3.0370023829019773e-15,2.5669739964418548e-14,True
subregio,nao,pressio_nivell_mar,480,0.6696836299553542,9.308679969968534e-64,0.6418975288209399,4.253107168157906e-57,0.6696836299553542,0.6418975288209399,Catalunya_Balears,,,5.077461801801019e-61,2.3198766371770394e-54,True
